NAME,AREA_KM2,the_geom,NUMBER
Thorncliff,0.898130391805026,"MULTIPOLYGON (((-113.61531596615988 53.51955447261711, -113.61524699604665 53.51210780730298, -113.62990998825896 53.5121744289612, -113.63005406985744 53.514890873185266, -113.63042877653201 53.517061127982, -113.63058227635193 53.518359110539144, -113.6306375701082 53.519137792555625, -113.63059718026788 53.52012340076706, -113.63046868855544 53.52128898003502, -113.62732468016074 53.52089426024225, -113.62370572045752 53.52030720571516, -113.62176128347535 53.51997389305904, -113.62026646381109 53.51978019664244, -113.61879834069 53.519646701288295, -113.61679662259876 53.51954263906876, -113.61531596615988 53.51955447261711)))",4560
Casselman,0.840373166152383,"MULTIPOLYGON (((-113.43046505938295 53.60684730575964, -113.43046943705257 53.60697963980116, -113.43046125094226 53.60917926125965, -113.43053723290133 53.6091793617968, -113.43053189390375 53.610587270511, -113.43052981549204 53.61123611187894, -113.43047641285621 53.61134500424954, -113.43046452878548 53.613185201916295, -113.43045197724199 53.613796533199114, -113.43036355314749 53.61398995359713, -113.43051862804501 53.614132028375884, -113.4305170079504 53.61490464850664, -113.43051610811763 53.6156790283639, -113.43051511482494 53.615849753174, -113.42466324935927 53.61583624054738, -113.41821550312686 53.615821944122544, -113.4182042478987 53.61368150210075, -113.41812770363063 53.61291191140916, -113.41801539968316 53.61232599785819, -113.41797212486583 53.612035937383745, -113.4178385513048 53.61149093166431, -113.41716803362989 53.6096090953546, -113.41708886687287 53.60913226740827, -113.4171005697924 53.6087619029146, -113.41722270838476 53.60803226599924, -113.41762997156476 53.60691094105942, -113.41988914790257 53.60688397593324, -113.42281575158667 53.60688785857662, -113.42367066492281 53.606890904998366, -113.42567596887035 53.606890645566516, -113.42930360518905 53.60689611803747, -113.43003623403526 53.6068903742778, -113.43046505938295 53.60684730575964)))",2130
Delton,0.679806538098524,"MULTIPOLYGON (((-113.4761905191395 53.576723960364845, -113.47796982562018 53.57672151785343, -113.47961708804813 53.57662378119984, -113.48122419885212 53.576622736274224, -113.48423435421024 53.57662147982756, -113.48577733287183 53.57662303311292, -113.48733268803687 53.576625697239, -113.48887464074426 53.576624995791946, -113.4904174827853 53.576626851235936, -113.49225733739898 53.576616671002725, -113.49225500699998 53.578304329102444, -113.49226738912249 53.579441029211985, -113.49225660711254 53.58084976451292, -113.49212852957365 53.58147609829505, -113.48951279709945 53.581445705152106, -113.4866707905845 53.581355160061214, -113.47796562783562 53.58131898851261, -113.47294731955607 53.5813071241942, -113.47263492953532 53.58131977083058, -113.4726340009975 53.579836248307004, -113.47263752140043 53.57829322995224, -113.47264060790602 53.57672554424577, -113.47441551061151 53.57672430372042, -113.4761905191395 53.576723960364845)))",1080
Glengarry,1.34476741698757,"MULTIPOLYGON (((-113.49191894372663 53.596768806576726, -113.49207016254691 53.59949732087541, -113.48505612852662 53.59949969787975, -113.48090773346007 53.59949313444317, -113.4746370048835 53.599557925621106, -113.471124276422 53.59960897045671, -113.46740087977098 53.599661196836166, -113.46735515660771 53.59772425456399, -113.46733334378268 53.59686361509948, -113.46730674197099 53.59531886480128, -113.46727096761838 53.59440031199521, -113.46726262509496 53.59318130565231, -113.4672391709453 53.59221280385188, -113.46821237681637 53.592205787170464, -113.46907462061209 53.5922102325323, -113.46993284901934 53.59220465008608, -113.47059708507216 53.59220478553634, -113.47086434902384 53.592143444785684, -113.47263380056145 53.59213063165439, -113.47283776940911 53.59219385005857, -113.47597721439571 53.59216598404935, -113.47619768032854 53.592097535533846, -113.47971391825445 53.5920781112722, -113.48097302825177 53.59206279059275, -113.48122523067967 53.59214055918713, -113.48193243257346 53.592148385547986, -113.48759702126401 53.59210584955407, -113.48780701050184 53.59208821721883, -113.48888278142154 53.59207346386311, -113.49195220741568 53.59204972998347, -113.49196909133995 53.59319006680115, -113.49190015771198 53.59326701786596, -113.4918918513252 53.594614162307984, -113.49191894372663 53.596768806576726)))",2290
Lauderdale,1.301509580812786,"MULTIPOLYGON (((-113.49194973016228 53.58907166026587, -113.49200663010983 53.58593988747976, -113.49196341521436 53.58476670785428, -113.49372075691511 53.58475934851343, -113.49429267707903 53.58475939520053, -113.49548559682314 53.58481071031232, -113.49655653704816 53.58481558374175, -113.49725530137539 53.5848813100958, -113.499006744912 53.58489098508233, -113.50427465797577 53.58493035329546, -113.50843224584145 53.584955737191386, -113.50859947252629 53.58488955467735, -113.5102375338639 53.58489935476297, -113.51655017222194 53.58493091714116, -113.51656224202513 53.58745822252267, -113.51653880057344 53.589586948788806, -113.51653384202868 53.59016037210672, -113.51661687963716 53.590380388496534, -113.51660748973042 53.591194175887495, -113.51657922497998 53.592133762297664, -113.5150732669069 53.59213487773656, -113.51358964357958 53.59213834985794, -113.5084064529611 53.59210802465068, -113.50825143874387 53.592058659413034, -113.50658665125361 53.59204845989449, -113.5039799403639 53.59203759965338, -113.50075260061932 53.59203670041601, -113.49899340511318 53.59202830169927, -113.49725128463938 53.592018159980924, -113.49658023791923 53.59205697524231, -113.49546537692966 53.592046198665855, -113.49368863683607 53.59206176765034, -113.4919522074157 53.59204972998347, -113.4919815909688 53.58958795920274, -113.49194973016228 53.58907166026587)))",3260
Rosslyn,1.342960407469029,"MULTIPOLYGON (((-113.49191894372663 53.596768806576726, -113.4918918513252 53.594614162307984, -113.49190015771198 53.59326701786596, -113.49196909133995 53.59319006680115, -113.49195220741568 53.59204972998347, -113.49368863683607 53.59206176765034, -113.49546537692966 53.592046198665855, -113.49658023791923 53.59205697524231, -113.49725128463938 53.592018159980924, -113.49899340511318 53.59202830169927, -113.50075260061932 53.59203670041601, -113.5039799403639 53.59203759965338, -113.50658665125361 53.59204845989449, -113.50825143874387 53.592058659412956, -113.5084064529611 53.59210802465068, -113.51358964357958 53.59213834985794, -113.5150732669069 53.59213487773656, -113.51657922497998 53.592133762297664, -113.51665080390599 53.594916555945744, -113.51669507559711 53.59707078068592, -113.51670068527083 53.59840031052547, -113.51670554949558 53.59945261874323, -113.51217442806933 53.5994427461629, -113.50664756233517 53.59944137756373, -113.50428248665649 53.59944140023203, -113.5007641538367 53.599432373230684, -113.49767297090355 53.599443724655465, -113.4955004931935 53.599447441019315, -113.49207016254691 53.59949732087541, -113.49191894372663 53.596768806576726)))",3390
Killarney,1.333083360669379,"MULTIPOLYGON (((-113.49194973016228 53.58907166026587, -113.4919815909688 53.58958795920274, -113.4919522074157 53.59204972998347, -113.48888278142154 53.59207346386311, -113.48780701050184 53.59208821721883, -113.48759702126401 53.59210584955407, -113.48193243257346 53.592148385547986, -113.48122523067967 53.59214055918713, -113.48097302825177 53.59206279059275, -113.47971391825445 53.5920781112722, -113.47619768032854 53.592097535533846, -113.47597721439571 53.59216598404935, -113.47283776940911 53.59219385005857, -113.47263380056145 53.59213063165439, -113.47086434902384 53.592143444785684, -113.47059708507216 53.59220478553634, -113.46993284901934 53.59220465008608, -113.46907462061209 53.5922102325323, -113.46821237681637 53.592205787170464, -113.4672391709453 53.59221280385188, -113.46717535781028 53.58914254572904, -113.4671788749682 53.5869647243493, -113.46724597373287 53.5860452036738, -113.46730487041889 53.58485044226092, -113.46908939950394 53.5848697236436, -113.47086504568176 53.58485723084241, -113.47261957457968 53.584840300673186, -113.47441758861217 53.58482710933842, -113.4761920087729 53.58481123209072, -113.4779607919976 53.584811305542274, -113.47964650133723 53.5848004949169, -113.48116152472313 53.58479935601725, -113.48285748159354 53.584800801142364, -113.48449820955193 53.58482787116909, -113.48605776546242 53.584851985736925, -113.48743743875796 53.584847239194694, -113.48815155962247 53.58484064895055, -113.48889058655014 53.584804521304335, -113.48989339637772 53.584764582120016, -113.49043733054695 53.58477588740177, -113.49196341521436 53.58476670785428, -113.49200663010983 53.58593988747976, -113.49194973016228 53.58907166026587)))",2420
Jasper Park,0.665285409007527,"MULTIPOLYGON (((-113.59032869971604 53.52667312844492, -113.5884130030869 53.52669780441694, -113.5868125783189 53.52670221474649, -113.58504248052395 53.52669536839669, -113.5832919123554 53.52670643131393, -113.58154628907707 53.52670671564288, -113.57979193941875 53.52670053787863, -113.57793921178107 53.52668915737297, -113.57790850173872 53.52487842871562, -113.57788062464716 53.52308975138385, -113.57787557691702 53.52125948125477, -113.57790841915424 53.51943341815453, -113.5797971658654 53.51944589515276, -113.58241922763828 53.51944088642149, -113.58506346609772 53.51944676060397, -113.58682546737062 53.51944896157319, -113.59035223779854 53.519464171897496, -113.59032269161456 53.52127746770996, -113.59033015320583 53.52309917428982, -113.59032259878049 53.52492127457171, -113.59032869971604 53.52667312844492)))",4230
Richfield,0.94432667783315,"MULTIPOLYGON (((-113.4566113233177 53.465147334638644, -113.45831797280222 53.465250516662834, -113.46006091691697 53.46530116332474, -113.46649569323644 53.465316017710364, -113.46648208645563 53.46859869549549, -113.46642123578155 53.47412224209838, -113.46186778422772 53.47411797483407, -113.45891758819941 53.47408185460146, -113.45791515439389 53.4739152156606, -113.45693108869025 53.47366256498356, -113.45624246032747 53.47341577682296, -113.45560783951281 53.47312193812463, -113.45454853738207 53.47248540633786, -113.45362952091865 53.471914358368515, -113.45260416112923 53.47128325133343, -113.45196400710302 53.47086163625239, -113.45145814418461 53.47039764341729, -113.45099403466111 53.46989840424575, -113.45071284094087 53.46939469465265, -113.45054787365112 53.468852639429905, -113.4504814850078 53.4682924993473, -113.45055127979789 53.46484569457102, -113.45265896452354 53.46491632460397, -113.4566113233177 53.465147334638644)))",6600
Queen Alexandra,1.235991391349683,"MULTIPOLYGON (((-113.512043984724 53.51810091149196, -113.50934367510881 53.51809605771729, -113.50630911165784 53.51809105759154, -113.49757114347997 53.518074839451046, -113.4975736222826 53.517079829626255, -113.49757972525104 53.51613477123969, -113.49758249119542 53.51518566416991, -113.4975860731191 53.514239081948865, -113.49758545433653 53.51328996035529, -113.49758649171207 53.51234387145586, -113.49759080210568 53.511745491012874, -113.49766392888257 53.511662364090604, -113.49766179031687 53.50926496903744, -113.49766420478194 53.50835643499799, -113.49766321486514 53.50737943686845, -113.49766320872658 53.5063684875449, -113.50053503550893 53.50637299568972, -113.50259772831356 53.50637359488719, -113.50273890192751 53.50634715532145, -113.50441618976829 53.506338525800054, -113.5044165911788 53.506576727510584, -113.50631071557683 53.50657470792741, -113.51202414796339 53.5065739429591, -113.51202706394432 53.50752311204789, -113.51202955378415 53.50847237198254, -113.51203105835599 53.50941958215912, -113.51203506078751 53.51037007150743, -113.51203767070683 53.511318479242554, -113.51203747941538 53.512262333484195, -113.51204202498107 53.51292708074096, -113.5120403893342 53.51323627151171, -113.51204210004616 53.5140733897386, -113.51203633438375 53.51425947558682, -113.51204212592124 53.51520660380988, -113.51204352801338 53.5161548742924, -113.51204422529558 53.51710359320692, -113.512043984724 53.51810091149196)))",5330
Kildare,1.188673329033106,"MULTIPOLYGON (((-113.44692628517734 53.60496184650984, -113.4460538121195 53.60487802712217, -113.4453620377387 53.6048421037181, -113.44280850323656 53.60484387506708, -113.44283392450546 53.60221019846539, -113.4429352160769 53.59965624208794, -113.44619706148474 53.59967414336642, -113.44905897500367 53.59968508166918, -113.45546354368018 53.59966054770363, -113.4624269730171 53.59966085242026, -113.46740087977098 53.599661196836166, -113.46748832533869 53.601051655497955, -113.46747438950973 53.60374214072939, -113.46743523571385 53.60691755886939, -113.46482423906907 53.60691228265742, -113.46331676897482 53.60691977422984, -113.46031646744342 53.60692943089012, -113.4588265273492 53.60691836017942, -113.45646790409498 53.60691285206802, -113.45599867395752 53.60688207389977, -113.45557181813864 53.60683358280325, -113.45514032856363 53.606759375274564, -113.4541037320628 53.60652792348177, -113.45104878083698 53.605876069579985, -113.44986070093947 53.60561681253607, -113.44692628517734 53.60496184650984)))",2400
Allendale,0.883531299504597,"MULTIPOLYGON (((-113.50259772831356 53.50637359488719, -113.50053503550893 53.50637299568972, -113.49766320872658 53.5063684875449, -113.49766225842312 53.505437383412875, -113.49765566672984 53.504364111082346, -113.49765309697379 53.50252822813071, -113.49765648913252 53.50161669339857, -113.49765658201221 53.49986836201328, -113.4976383391459 53.49797727280547, -113.49932490553074 53.49798760766027, -113.50080221436943 53.49803618122761, -113.50225698661706 53.49811167002695, -113.50255629676833 53.498127909789666, -113.50289475406124 53.49813836329917, -113.50441318663668 53.49817448155159, -113.50933541863321 53.49818426658438, -113.51189684946154 53.49821982120581, -113.5119851735303 53.499160631176295, -113.51198018007972 53.5001062708062, -113.51198590114782 53.501054821554085, -113.51198775976043 53.501982736953934, -113.51198917100076 53.50295159664889, -113.51199236509437 53.50390112581452, -113.51200456409904 53.50483634659734, -113.51202366756495 53.505624689846776, -113.51202414796339 53.5065739429591, -113.50631071557683 53.50657470792741, -113.5044165911788 53.506576727510584, -113.50441618976829 53.506338525800054, -113.50273890192751 53.50634715532145, -113.50259772831356 53.50637359488719)))",5010
Parkallen,0.848906408776536,"MULTIPOLYGON (((-113.52293678953983 53.50389925796307, -113.52299068103135 53.506361396246696, -113.5245943229888 53.50811119044984, -113.52358745406339 53.50844144398278, -113.522960850578 53.508465319454366, -113.5199384398083 53.508471435981065, -113.51660338427789 53.508472657574266, -113.51202955378415 53.50847237198254, -113.51202706394432 53.50752311204789, -113.51202414796339 53.5065739429591, -113.51202366756495 53.505624689846776, -113.51200456409904 53.50483634659734, -113.51199236509437 53.50390112581452, -113.51198917100076 53.50295159664889, -113.51198775976043 53.501982736953934, -113.51198590114782 53.501054821554085, -113.51198018007972 53.5001062708062, -113.5119851735303 53.499160631176295, -113.51189684946154 53.49821982120581, -113.51364519106967 53.49820412175585, -113.51655457836142 53.49820070654192, -113.5198596027841 53.498191201771704, -113.5226864256707 53.49771896946388, -113.52291062141401 53.49828929296356, -113.52293678953983 53.50389925796307)))",5310
Woodcroft,1.291675612352087,"MULTIPOLYGON (((-113.56570359212786 53.56908921523379, -113.56580890235425 53.5693389584453, -113.56579181475891 53.57036767647372, -113.56137885746547 53.57031018169771, -113.55800123993943 53.570297480049135, -113.55633527461696 53.57029308690464, -113.55465131750458 53.57029147125062, -113.55127362562511 53.57027613603173, -113.5493791743313 53.570281133679174, -113.54945741196873 53.568433149418524, -113.54946863322378 53.567377334682156, -113.54946913649222 53.566828798184204, -113.54951729312066 53.56629891125997, -113.5496756698002 53.56593857024467, -113.55027946406182 53.56521745276689, -113.55128597686385 53.56403878813229, -113.55140195953693 53.56381457400519, -113.5514493245212 53.563556284330986, -113.55144453204794 53.563242240667286, -113.55142167732241 53.560494901630285, -113.55139820578599 53.55892093319117, -113.5523366964004 53.55884052477757, -113.5555180436973 53.55882965625608, -113.5656764469879 53.55882317155061, -113.56580346434838 53.55936376737418, -113.56582726431859 53.560488925955774, -113.56585821129846 53.56288087861487, -113.565837617876 53.565217893254136, -113.56571530636843 53.56580671579763, -113.56570359212786 53.56908921523379)))",3450
Lee Ridge,0.898035537483763,"MULTIPOLYGON (((-113.4391533570748 53.47434024833547, -113.43914273775746 53.47386204521314, -113.43908597670632 53.47328508048968, -113.43899463321915 53.472660858919305, -113.43882136488368 53.47195704072364, -113.4386641685915 53.47147270462598, -113.43837266600062 53.47064771856449, -113.43721248019278 53.46812750385206, -113.43598937337443 53.4654520923927, -113.4424012040779 53.46509098336627, -113.44461881624377 53.464969745781886, -113.44625620074221 53.464911822608606, -113.45055127979789 53.46484569457102, -113.4504814850078 53.4682924993473, -113.45054787365112 53.468852639429905, -113.45071284094087 53.46939469465265, -113.45099403466111 53.46989840424575, -113.45145814418461 53.47039764341729, -113.45196400710302 53.47086163625239, -113.45260416112923 53.471283251333524, -113.45362952091865 53.471914358368515, -113.45171839119436 53.47298362206454, -113.45098032791668 53.47331030492404, -113.45029288254429 53.47355124110377, -113.44955637868819 53.47376229649653, -113.44848592897038 53.473989263266894, -113.44744172388157 53.474126281100084, -113.4464350852613 53.47418513032057, -113.4391533570748 53.47434024833547)))",6400
Mill Woods Park,0.490425045130076,"MULTIPOLYGON (((-113.44392656018016 53.45353563698843, -113.4481442704393 53.45325607750453, -113.44810088671832 53.455884088325504, -113.44806008575846 53.458474747269676, -113.44150621083189 53.458404567093815, -113.43430310883915 53.45838539363622, -113.43469849052721 53.45356520617719, -113.43924216368582 53.45365427549414, -113.44392656018016 53.45353563698843)))",6510
